URL,Size (Bytes),Number of Outlinks,Content Type
https://www.foxnews.com/us/military-branches-open-checkbook-super-bowl-pitch-amid-deepening-recruiting-crisis,250705,308,text/html
https://www.foxnews.com/category/us/military/national-guard,123119,324,text/html
https://www.foxnews.com/us/miscalculation-forces-national-guard-temporarily-cut-re-enlistment-bonuses,241970,304,text/html
https://www.foxnews.com/us/army-eyes-massive-budget-increase-tackle-troops-horrid-living-conditions,242948,305,text/html
https://www.foxnews.com/us/navy-sideline-17-vessels-manpower-shortage-operating-crews-redistributed-report,248300,300,text/html
https://www.foxnews.com/category/us/military/army,122561,324,text/html
https://www.foxnews.com/world/hamas-militant-islamic-group,233141,291,text/html
https://www.foxnews.com/world/idf-powerful-military-state-israel-land-air-sea,244872,295,text/html
https://www.foxnews.com/video/6338957186112,71964,33,text/html
https://www.foxnews.com/world/idf-fighter-jets-struck-750-hamas-military-targets-overnight-northern-gaza-strip.print,122840,43,text/html
https://www.foxnews.com/person/p/elizabeth-pritchett,151193,363,text/html
https://www.foxnews.com/us/mississippi-teen-murder-suspect-caught-camera-shooting-laughing-after-allegedly-killing-mother,232183,300,text/html
https://www.foxnews.com/video/6289962093001,65005,29,text/html
https://www.foxnews.com/us/pennsylvania-fantasy-football-competition-fake-threats-violence-federal-foreign-investigation.print,121673,42,text/html
https://www.foxnews.com/person/r/sarah-rumpf,147958,359,text/html
https://www.foxnews.com/video/6353180109112,73404,36,text/html
https://www.foxnews.com/video/6353255398112,72980,34,text/html
https://www.foxnews.com/video/6353286897112,65879,32,text/html
https://www.foxnews.com/video/6353314496112,66930,31,text/html
https://www.foxnews.com/video/6353665671112,75927,37,text/html
https://www.foxnews.com/video/6354161081112,74918,35,text/html
https://www.foxnews.com/video/6354517130112,75697,36,text/html
https://www.foxnews.com/video/6354640632112,66223,29,text/html
https://www.foxnews.com/video/6354624709112,68969,33,text/html
https://www.foxnews.com/video/6354625497112,68369,31,text/html
https://www.foxnews.com/video/6354624939112,68650,33,text/html
https://www.foxnews.com/video/6355016469112,75831,35,text/html
https://www.foxnews.com/video/6355133811112,74780,37,text/html
https://www.foxnews.com/video/6355611406112,66421,30,text/html
https://www.foxnews.com/video/6355632506112,66355,30,text/html
https://www.foxnews.com/video/6355772647112,68250,32,text/html
https://www.foxnews.com/video/6355771283112,67549,31,text/html
https://www.foxnews.com/video/6356756583112,67672,34,text/html
https://www.foxnews.com/video/6358320021112,67316,30,text/html
https://www.foxnews.com/video/6358320117112,67376,30,text/html
https://www.foxnews.com/video/6358436177112,65937,32,text/html
https://www.foxnews.com/video/6358469017112,69679,39,text/html
https://www.foxnews.com/video/6358983591112,68806,33,text/html
https://www.foxnews.com/video/6360319491112,66988,30,text/html
https://www.foxnews.com/video/6360321992112,67112,30,text/html
https://www.foxnews.com/video/6360463900112,75409,35,text/html
https://www.foxnews.com/video/6362209724112,66380,31,text/html
https://www.foxnews.com/video/6362188485112,72672,35,text/html
https://www.foxnews.com/video/6362186822112,73249,36,text/html
https://www.foxnews.com/video/6362231042112,72598,35,text/html
https://www.foxnews.com/video/6362232838112,70892,31,text/html
https://www.foxnews.com/video/6362231672112,72983,34,text/html
https://www.foxnews.com/video/6362232260112,73110,35,text/html
https://www.foxnews.com/video/6362363865112,74200,34,text/html
https://www.foxnews.com/video/6362366212112,72669,36,text/html
https://www.foxnews.com/video/6362368806112,72692,36,text/html
https://www.foxnews.com/video/topics/us/immigration/border-security,328574,106,text/html
https://www.foxnews.com/video/topics/topic/border-wall,317933,106,text/html
https://www.foxnews.com/video/6362407794112,74840,35,text/html
https://www.foxnews.com/video/6362461720112,73779,34,text/html
https://www.foxnews.com/video/6362467017112,73341,35,text/html
https://www.foxnews.com/video/topics/shows/fox-friends-weekend,349778,106,text/html
https://www.foxnews.com/video/6362042160112,73159,35,text/html
https://www.foxnews.com/video/topics/health/mental-health/drug-and-substance-abuse,317120,106,text/html
https://www.foxnews.com/video/topics/us/crime/drugs,327612,106,text/html
https://www.foxnews.com/video/6362042498112,73802,35,text/html
https://www.foxnews.com/video/topics/world/religion/christianity,299766,106,text/html
https://www.foxnews.com/video/6362044451112,72800,34,text/html
https://www.foxnews.com/video/6362070146112,73106,36,text/html
https://www.foxnews.com/video/6362085416112,73206,36,text/html
https://www.foxnews.com/video/6362085016112,72490,35,text/html
https://www.foxnews.com/video/6362087891112,73079,34,text/html
https://www.foxnews.com/video/6362087843112,74891,37,text/html
https://www.foxnews.com/video/topics/person/lindsey-graham,320238,106,text/html
https://www.foxnews.com/video/6362136385112,73093,36,text/html
https://www.foxnews.com/video/6362138389112,73115,35,text/html
https://www.foxnews.com/video/6362137899112,72866,34,text/html
https://www.foxnews.com/video/6362185194112,72518,35,text/html
https://www.foxnews.com/video/6362186534112,73419,35,text/html
https://www.foxnews.com/video/6362235376112,71751,31,text/html
https://www.foxnews.com/video/6362239194112,74748,37,text/html
https://www.foxnews.com/video/6362371412112,73198,36,text/html
https://www.foxnews.com/video/6362371014112,73183,34,text/html
https://www.foxnews.com/video/6362396318112,74686,37,text/html
https://www.foxnews.com/video/6362420275112,72918,35,text/html
https://www.foxnews.com/video/6362417620112,72960,34,text/html
https://www.foxnews.com/video/6362468268112,73130,36,text/html
https://www.foxnews.com/video/6362469198112,73534,35,text/html
https://www.foxnews.com/video/6362469620112,71277,34,text/html
https://www.foxnews.com/video/6361521157112,66824,33,text/html
https://www.foxnews.com/video/6361522642112,66991,32,text/html
https://www.foxnews.com/video/6361522415112,66459,33,text/html
https://www.foxnews.com/video/6361524192112,66652,33,text/html
https://www.foxnews.com/video/6361526945112,68887,35,text/html
https://www.foxnews.com/video/topics/person/melania-trump,299964,106,text/html
https://www.foxnews.com/video/topics/person/jim-jordan,343975,106,text/html
https://www.foxnews.com/video/6361526057112,68366,35,text/html
https://www.foxnews.com/video/topics/us/us-regions/southeast,242278,106,text/html
https://www.foxnews.com/video/topics/us/crime/mass-murder,294933,106,text/html
https://www.foxnews.com/video/6361548133112,75814,36,text/html
https://www.foxnews.com/video/6361549720112,67660,36,text/html
https://www.foxnews.com/video/topics/us/education/high-school,308746,106,text/html
https://www.foxnews.com/video/6361587847112,68836,33,text/html
https://www.foxnews.com/video/6361606821112,75289,35,text/html
https://www.foxnews.com/video/6361604869112,75547,36,text/html
https://www.foxnews.com/video/6361608758112,67707,35,text/html
https://www.foxnews.com/video/6361612608112,74781,35,text/html
https://www.foxnews.com/video/6361612898112,72760,35,text/html
